**Lloyds Bank**
**660 Blanket Limited**
Account Statement
Printed on January 7, 2023

Account Number: **23404962** | 07-Oct-2022 - 07-Jan-2023 | Page 1 of 3

**Muhammad Ramzan**
28 Elsmdale Avenue
Manchester
M9 6wj

- Balance: **£ 20,183.32**
- As of: **07 January, 2023**
- Short Code: **309542**
- Currency: **£**
- Branch: **Lloyds Bank plc**

## Activity Summary

| DATE | PARTICULARS | INST. NO. | DEBIT | CREDIT | BALANCE |
|---|---|---|---|---|---|
| 07-Oct-2022 | ** Opening Balance | | 0 | 0 | 952.43 |
| 10-Oct-2022 | POS SALE - VISA | | 100 | 0 | 852.43 |
| 11-Oct-2022 | DIGITAL APP-IBFT FUND TRANSFER, TO: | | 200 | 0 | 652.43 |
| 10-Oct-2022 | POS SALE - VISA | | 100 | 0 | 552.43 |
| 14-Oct-2022 | POS SALE - VISA | | 100 | 0 | 452.43 |
| 17-Oct-2022 | DIGITAL APP-IBFT FUND TRANSFER, | | 100 | 0 | 352.43 |
| 19-Oct-2022 | ATM-IBFT FUNDS TRANSFER, FR: | | 0 | 4,800 | 5,152.43 |
| 20-Oct-2022 | DIGITAL APP-IBFT FUND TRANSFER, | | 3,000 | 0 | 2,152.43 |
| 21-Oct-2022 | DIGITAL APP-IBFT FUND TRANSFER, | | 1,600 | 0 | 552.43 |
| 22-Oct-2022 | ATM-IBFT FUNDS TRANSFER, FR: | | 0 | 6,000 | 6,552.43 |
